Suburb,Lat,Lng,Train Station Count
Greensborough,-37.70436979999999,145.1006438,3
Greenvale,-37.633,144.883,0
Hallam,-38.0063441,145.273282,2
Healesville,-37.656111,145.513889,1
Heathmont,-37.83,145.242,5
Highett,-37.9490959,145.0460123,5
Hillside,-37.687,144.743,1
Hoppers Crossing,-37.8629027,144.6854533,1
Huntingdale,-37.9074344,145.1086176,5
Keilor Downs,-37.722,144.803,3
Keilor Lodge,-37.6982783,144.7988921,1
Keysborough,-37.9989202,145.1743519,2
Kings Park,-37.734,144.772,2
Lalor,-37.6655588,145.0165638,4
Lower Plenty,-37.734,145.116,2
Lynbrook,-38.05,145.252,1
MacLeod,-37.714,145.066,2
Melton,-37.6835831,144.5779508,2
Melton South,-37.703056,144.571944,2
Melton West,-37.68298,144.5500157,1
Mentone,-37.9812276,145.0647654,5
Mernda,-37.5892795,145.103791,1
Mickleham,-37.562,144.874,0
Mill Park,-37.6703725,145.071113,2
Mitcham,-37.8163579,145.1936683,3
Montmorency,-37.719,145.126,3
Montrose,-37.81,145.343,1
Mordialloc,-37.9995418,145.0940302,4
Mount Waverley,-37.87523970000001,145.1290575,4
Mulgrave,-37.9187107,145.158814,1
Narre Warren,-38.026173,145.3067451,2
Noble Park,-37.9650097,145.1733926,6
Nunawading,-37.8184273,145.1760206,4
Oakleigh East,-37.9085262,145.1181383,5
Parkdale,-37.991,145.08,4
Point Cook,-37.9178086,144.7477259,0
Ringwood,-37.8106372,145.2307011,3
Ringwood East,-37.818,145.252,4
Rockbank,-37.7304579,144.652914,1
Rowville,-37.9279826,145.2330751,0
Roxburgh Park,-37.627,144.929,2
Sandringham,-37.9525,145.012311,7
Seabrook,-37.876,144.758,2
Seaford,-38.1089167,145.1363374,2
Skye,-38.119,145.2,0
South Morang,-37.633333,145.083333,3
Springvale,-37.9493465,145.1527935,5
Springvale South,-37.9709927,145.1485377,3
St Albans,-37.7442306,144.7999941,3
St Helena,-37.686,145.137,3
Sunbury,-37.581111,144.713889,1
Sydenham,-37.702,144.767,2
Tarneit,-37.8091678,144.6672079,1
Taylors Hill,-37.715,144.751,1
Taylors Lakes,-37.6973477,144.7811982,1
Tecoma,-37.906,145.344,5
Templestowe,-37.7525662,145.1350129,0
The Basin,-37.86,145.314,1
Thomastown,-37.6858683,145.0130302,4
Truganina,-37.82508079999999,144.7486706,0
Tullamarine,-37.6994841,144.8803113,1
Vermont,-37.838,145.198,3
Vermont South,-37.8565882,145.183373,2
Wantirna,-37.8479567,145.2289289,2
Wantirna South,-37.87695180000001,145.2329617,0
Werribee,-37.8997995,144.6641401,2
Werribee South,-37.937,144.697,0
Westmeadows,-37.6779426,144.8843087,3
Williams Landing,-37.8622254,144.7479385,2
Wollert,-37.6085118,145.0313459,0
Wyndham Vale,-37.89,144.63,2
Aspendale,-38.025,145.104,3
Black Rock,-37.972,145.021,4
Blackburn North,-37.8064051,145.1586444,4
Bonbeach,-38.062,145.12,2
Carrum,-38.076,145.122,3
Chelsea,-38.051111,145.121944,3
Clayton South,-37.9388113,145.1267061,5
