Suburb,Lat,Lng,Train Station Count
Melton,-37.6835831,144.5779508,
Melton South,-37.703056,144.571944,
Melton West,-37.68298,144.5500157,
Mentone,-37.9812276,145.0647654,
Mernda,-37.5892795,145.103791,
Mickleham,-37.562,144.874,
Mill Park,-37.6703725,145.071113,
Mitcham,-37.8163579,145.1936683,
Montmorency,-37.719,145.126,
Montrose,-37.81,145.343,
Mordialloc,-37.9995418,145.0940302,
Mount Waverley,-37.87523970000001,145.1290575,
Mulgrave,-37.9187107,145.158814,
Narre Warren,-38.026173,145.3067451,
Noble Park,-37.9650097,145.1733926,
Nunawading,-37.8184273,145.1760206,
Oakleigh East,-37.9085262,145.1181383,
Parkdale,-37.991,145.08,
Point Cook,-37.9178086,144.7477259,
Ringwood,-37.8106372,145.2307011,
Ringwood East,-37.818,145.252,
Rockbank,-37.7304579,144.652914,
Rowville,-37.9279826,145.2330751,
Roxburgh Park,-37.627,144.929,
Sandringham,-37.9525,145.012311,
Seabrook,-37.876,144.758,
Seaford,-38.1089167,145.1363374,
Skye,-38.119,145.2,
South Morang,-37.633333,145.083333,
Springvale,-37.9493465,145.1527935,
Springvale South,-37.9709927,145.1485377,
St Albans,-37.7442306,144.7999941,
St Helena,-37.686,145.137,
Sunbury,-37.581111,144.713889,
Sydenham,-37.702,144.767,
Tarneit,-37.8091678,144.6672079,
Taylors Hill,-37.715,144.751,
Taylors Lakes,-37.6973477,144.7811982,
Tecoma,-37.906,145.344,
Templestowe,-37.7525662,145.1350129,
The Basin,-37.86,145.314,
Thomastown,-37.6858683,145.0130302,
Truganina,-37.82508079999999,144.7486706,
Tullamarine,-37.6994841,144.8803113,
Vermont,-37.838,145.198,
Vermont South,-37.8565882,145.183373,
Wantirna,-37.8479567,145.2289289,
Wantirna South,-37.87695180000001,145.2329617,
Werribee,-37.8997995,144.6641401,
Werribee South,-37.937,144.697,
Westmeadows,-37.6779426,144.8843087,
Williams Landing,-37.8622254,144.7479385,
Wollert,-37.6085118,145.0313459,
Wyndham Vale,-37.89,144.63,
Aspendale,-38.025,145.104,
Black Rock,-37.972,145.021,
Blackburn North,-37.8064051,145.1586444,
Bonbeach,-38.062,145.12,
Carrum,-38.076,145.122,
Chelsea,-38.051111,145.121944,
Clayton South,-37.9388113,145.1267061,
Dallas,-37.66800000000001,144.94,
Delahey,-37.719,144.777,
Doveton,-37.9876769,145.2394075,
McKinnon,-37.91,145.039,
Mooroolbark,-37.785,145.315,
Pakenham,-38.073568,145.4851308,
Ringwood North,-37.799883,145.226877,
Scoresby,-37.8991785,145.230328,
Warrandyte,-37.738,145.223,
Watsonia North,-37.7,145.081,
Wattle Glen,-37.663,145.183,
Wheelers Hill,-37.9067871,145.1890123,
Albanvale,-37.746,144.765,
Aspendale Gardens,-38.022778,145.118889,
Belgrave,-37.912067,145.3558,
Carrum Downs,-38.0994897,145.1726257,
Cranbourne East,-38.11633459999999,145.307612,
Cranbourne North,-38.07,145.291,
Deer Park,-37.7702749,144.7747728,
Heatherton,-37.95,145.085,
Kilsyth,-37.802,145.316,
Langwarrin,-38.1521755,145.1910175,
Notting Hill,-37.9048347,145.1458611,
Patterson Lakes,-38.0742262,145.1431018,
Riddells Creek,-37.4543694,144.6873807,
Beaconsfield Upper,-37.9982063,145.4237893,
Chelsea Heights,-38.047,145.137,
Chirnside Park,-37.754,145.327,
Coolaroo,-37.6562333,144.9364069,
Darley,-37.8952174,145.3203127,
Hampton Park,-38.0283807,145.2687485,
Keilor,-37.712,144.831,
Meadow Heights,-37.65,144.922,
Mount Evelyn,-37.783,145.385,
North Warrandyte,-37.726,145.216,
Sandhurst,-38.081,145.207,
Silvan,-37.824,145.421,
Wallan,-37.4066923,144.9798236,
Croydon South,-37.814,145.271,
Derrimut,-37.7927082,144.7715559,
Diggers Rest,-37.628056,144.721111,
Knoxfield,-37.891,145.248,
Upwey,-37.903,145.33,
Warranwood,-37.777,145.249,
Bacchus Marsh,-37.6763789,144.4463206,
Bullengarook,-37.516667,144.483333,
Deepdene,-37.813056,145.067778,
Hurstbridge,-37.638889,145.195,
Kurunjang,-37.672,144.585,
Laverton,-37.8592043,144.7704046,
Lilydale,-37.758,145.35,
Wonga Park,-37.7355557,145.2696895,
Endeavour Hills,-37.9749174,145.2581884,
Officer,-38.0611204,145.415089,
Olinda,-37.85599,145.364357,
Waterways,-38.0147634,145.1305169,
Beaconsfield,-38.049,145.371,
Yarra Glen,-37.648889,145.371944,
Brookfield,-37.6999038,144.5382417,
Lysterfield,-37.93,145.301,
Plenty,-37.669,145.117,
Whittlesea,-37.513889,145.113889,
Burnside,-37.753,144.754,
New Gisborne,-37.459,144.598,
Guys Hill,-38.017,145.386,
Plumpton,-37.6731215,144.6630148,
croydon,-37.794384,145.2815432,
Monbulk,-37.878,145.411,
Avonsleigh,-37.925,145.481944,
Wildwood,-37.5718,144.7935,
Gisborne South,-37.538611,144.606389,
Research,-37.707,145.18,
viewbank,-37.731,145.1,
Botanic Ridge,-38.144,145.267,
Bulla,-37.636944,144.803056,
Coldstream,-37.734,145.383,
Hopetoun Park,-37.6978954,144.5053764,
Cranbourne West,-38.1021731,145.2535448,
Eynesbury,-37.7471636,144.5640379,
Fawkner Lot,-37.7072243,144.9669297,
Ferny Creek,-37.878,145.335,
Wandin North,-37.769,145.411,
Kalkallo,-37.5245635,144.955677,
Menzies Creek,-37.931,145.398,
