Education_Sector,School_Name,School_Type,Address,Suburb,Postcode,Full_Phone_No,LGA_ID,LGA_Name,CouncilArea,Longitude,Latitude
Government,Kings Park Primary School,Primary,128b Gillespie Road,St Albans,3021,03 9367 6555,118,Brimbank ,Brimbank City Council,144.767544,-37.733151
Government,Dandenong Valley Special Developmental School,Special,19-21 Victoria Road,Narre Warren,3805,03 9704 4800,161,Casey ,Casey City Council,145.2959991,-38.00759964
Government,Mornington Special Developmental School,Special,40 Robertson Drive,Mornington,3931,03 5975 6111,534,Mornington Peninsula ,Mornington Peninsula City Council,145.0571838,-38.22610733
Government,Bayside Special Developmental School,Special,4 Genoa Street,Moorabbin,3189,03 9555 4155,343,Kingston ,Kingston City Council,145.056804,-37.943358
Government,Rolling Hills Primary School,Primary,52 Landscape Drive,Mooroolbark,3138,03 9726 4454,745,Yarra Ranges ,Yarra Ranges Shire Council,145.32684,-37.766514
Government,Craigieburn South Primary School,Primary,102 Hothlyn Drive,Craigieburn,3064,03 9308 3133,327,Hume ,Hume City Council,144.935852,-37.608753
Government,Findon Primary School,Primary,Cuthbert Drive,Mill Park,3082,03 9404 1362,707,Whittlesea ,Whittlesea City Council,145.0510724,-37.66649725
Government,Loch Sport Primary School,Primary,7 Charlies Street,Loch Sport,3851,03 5146 0457,681,Wellington ,Wellington City Council,147.567174,-38.058191
Government,Yarra Ranges Special Developmental School,Special,20 Burdap Drive,Mount Evelyn,3796,03 9736 2499,745,Yarra Ranges ,Yarra Ranges Shire Council,145.384871,-37.77502297
Government,Colac Specialist School,Special,120A Wilson Street,Colac,3250,03 5231 1055,175,Colac-Otway ,Colac-Otway City Council,143.589025,-38.345712
Government,Goonawarra Primary School,Primary,3 - 6 Gullane Drive,Sunbury,3429,03 9744 7137,327,Hume ,Hume City Council,144.751054,-37.580517
Government,Mildura Specialist School,Special,341-357 Deakin Avenue,Mildura,3500,03 5021 3311,478,Mildura ,Mildura City Council,142.143641,-34.199885
Government,Southern Autistic School,Special,12 Margaretta Street,East Bentleigh,3165,03 9563 8139,231,Glen Eira ,Glen Eira City Council,145.0620819,-37.92671866
Government,Bellbridge Primary School,Primary,120 Bellbridge Drive,Hoppers Crossing,3029,03 9749 6161,726,Wyndham ,Wyndham City Council,144.71078,-37.871082
Government,Croydon Hills Primary School,Primary,Campaspe Drive,Croydon Hills,3136,03 9725 1206,441,Maroondah ,Maroondah City Council,145.272045,-37.776679
Government,Kurunjang Primary School,Primary,37-45 Mowbray Crescent,Melton,3337,03 9743 0633,465,Melton ,Melton City Council,144.586315,-37.67057
Government,Langwarrin Park Primary School,Primary,19-27 Northgateway,Langwarrin,3910,03 9775 7533,217,Frankston ,Frankston City Council,145.2025,-38.150915
Government,Taylors Lakes Primary School,Primary,21-35 Chichester Drive,Taylors Lakes,3038,03 9390 3388,118,Brimbank ,Brimbank City Council,144.793766,-37.709651
Government,Glen Katherine Primary School,Primary,39 Calendonia Drive,Eltham North,3095,03 9431 1599,66,Banyule ,Banyule City Council,145.139837,-37.689982
Government,Coburg Special Developmental School,Special,Cnr Bishop & Gaffney Streets,Coburg,3058,03 9354 4366,525,Moreland ,Moreland City Council,144.951739,-37.732916
Government,Broadmeadows Special Developmental School,Special,29 - 35 Dimboola Rd,Broadmeadows,3047,03 9302 1244,327,Hume ,Hume City Council,144.914104,-37.68164744
Government,Sunshine Special Developmental School,Special,Ivory Court,Sunshine,3020,03 9311 4804,118,Brimbank ,Brimbank City Council,144.819889,-37.80343497
Government,Swan Hill Specialist School,Special,27-33 Yana Street,Swan Hill,3585,03 5032 3683,661,Swan Hill ,Swan Hill City Council,143.54509,-35.349243
Government,Richmond Primary School,Primary,85 Brighton Street,Richmond,3121,03 9428 1909,735,Yarra ,Yarra City Council,144.9990734,-37.82956905
Government,Yarra Primary School,Primary,68-76 Davison Street,Richmond,3121,03 9428 3286,735,Yarra ,Yarra City Council,145.007482,-37.814639
Government,Skene Street School Stawell,Special,7-13 Skene Street,Stawell,3380,03 5358 2448,581,Northern Grampians ,Northern Grampians City Council,142.78383,-37.057672
Government,Horsham Special School,Special,17 High Street North,Horsham,3400,03 5381 1475,319,Horsham ,Horsham City Council,142.186781,-36.70784487
Government,Hampden Specialist School,Special,36 Grayland Street,Cobden,3266,03 5595 1995,183,Corangamite ,Corangamite City Council,143.064656,-38.323556
Government,Merri River School,Special,189 Wollaston Road,Warrnambool,3280,03 5561 1711,673,Warrnambool ,Warrnambool City Council,142.48177,-38.354976
Government,Yarraville Special Developmental School,Special,117 Blackwood Street,Yarraville,3013,03 9314 4919,433,Maribyrnong ,Maribyrnong City Council,144.883653,-37.817905
Government,Clifton Springs Primary School,Primary,84-118 Jetty Road,Clifton Springs,3222,03 5251 3581,275,Greater Geelong ,Greater Geelong City Council,144.553141,-38.165658
Government,Park Ridge Primary School,Primary,Wentworth Avenue,Rowville,3178,03 9752 8555,367,Knox ,Knox City Council,145.262461,-37.918414
Government,Portland Bay School,Special,77 Henty Street,Portland,3305,03 5523 2218,241,Glenelg ,Glenelg City Council,141.5975588,-38.34633089
Government,Hamilton Parklands School,Special,15 Kerr Street,Hamilton,3300,03 5572 3077,626,Southern Grampians ,Southern Grampians City Council,142.022463,-37.726861
Government,Merriang Special Developmental School,Special,11 Duncan Road,Lalor,3075,03 9464 3011,707,Whittlesea ,Whittlesea City Council,145.0150833,-37.66723751
Government,Orchard Grove Primary School,Primary,101 Orchard Grove,Blackburn South,3130,03 9894 3400,698,Whitehorse ,Whitehorse City Council,145.146528,-37.84023
Government,Meadowglen Primary School,Primary,22-48 Meadow Glen Drive,Epping,3076,03 9408 6222,707,Whittlesea ,Whittlesea City Council,145.0530862,-37.64274926
Government,Altona Green Primary School,Primary,240 Victoria Street,Altona Meadows,3028,03 9360 0777,311,Hobsons Bay ,Hobsons Bay City Council,144.784916,-37.886773
Government,Boroondara Park Primary School,Primary,40 Almond Street,Balwyn North,3104,03 9857 5157,111,Boroondara ,Boroondara City Council,145.087893,-37.789437
Government,Warragul & District Specialist School,Special,55 Burke Street,Warragul,3820,03 5623 1385,83,Baw Baw ,Baw Baw City Council,145.925061,-38.164894
Government,Western Autistic School,Special,1 Burnley Street,Laverton,3028,03 9097 2000,311,Hobsons Bay ,Hobsons Bay City Council,144.7780691,-37.85078167
Government,Warracknabeal Special Developmental School,Special,5 Werrigar Street,Warracknabeal,3393,03 5398 2564,763,Yarriambiack ,Yarriambiack City Council,142.390754,-36.257614
Government,Coral Park Primary School,Primary,145 Coral Drive,Hampton Park,3976,03 9702 8398,161,Casey ,Casey City Council,145.274352,-38.043846
Government,Maramba Primary School,Primary,Maramba Drive,Narre Warren,3805,03 9796 7150,161,Casey ,Casey City Council,145.304125,-38.003437
Government,Thomas Mitchell Primary School,Primary,67-77 Thomas Mitchell Drive,Endeavour Hills,3802,03 9706 2254,161,Casey ,Casey City Council,145.27391,-37.980562
Government,Karoo Primary School,Primary,Karoo Road,Rowville,3178,03 9759 6222,367,Knox ,Knox City Council,145.263279,-37.905324
Government,Mackellar Primary School,Primary,29-35 Goldsmith Avenue,Delahey,3037,03 9364 0200,118,Brimbank ,Brimbank City Council,144.777528,-37.717234
Government,Bendigo Special Developmental School,Special,26-32 Lockwood Road,Kangaroo Flat,3555,03 5447 3267,262,Greater Bendigo ,Greater Bendigo City Council,144.240152,-36.795866
Government,Echuca Twin Rivers Specialist School,Special,66 Wilkinson Drive,Echuca,3564,03 5410 7700,137,Campaspe ,Campaspe City Council,144.724609,-36.138287
Government,Aspendale Gardens Primary School,Primary,96 Kearney Drive,Aspendale Gardens,3195,03 9587 0877,343,Kingston ,Kingston City Council,145.116796,-38.022512
Government,Berwick Fields Primary School,Primary,35 Gwendoline Drive,Berwick,3806,03 8786 9988,161,Casey ,Casey City Council,145.3343892,-38.04874134
Government,Brentwood Park Primary School,Primary,Bemersyde Drive,Berwick,3806,03 9702 2022,161,Casey ,Casey City Council,145.347768,-38.052983
Government,Eastern Ranges School,Special,56 Dorset Road,Ferntree Gully,3156,03 9758 3772,367,Knox ,Knox City Council,145.2849193,-37.88042006
Government,Edgars Creek Primary School,Primary,45 Macedon Parade,Wollert,3750,03 9407 7100,707,Whittlesea ,Whittlesea City Council,145.002573,-37.609845
Government,Eynesbury Primary School,Primary,750 Eynesbury Road,Eynesbury,3338,03 8015 2900,465,Melton ,Melton City Council,144.547547,-37.789943
Government,Cambridge Primary School,Primary,Carruthers Drive,Hoppers Crossing,3029,03 9748 9011,726,Wyndham ,Wyndham City Council,144.675695,-37.867389
Government,Rowellyn Park Primary School,Primary,Rowellyn Avenue,Carrum Downs,3201,03 9782 0953,217,Frankston ,Frankston City Council,145.192454,-38.104424
Government,Baden Powell P-9 College,Pri/Sec,31 Sycamore Street,Hoppers Crossing,3029,03 9748 8688,726,Wyndham ,Wyndham City Council,144.691019,-37.859838
Government,Woodlands Primary School,Primary,10 Gum Nut Drive,Langwarrin,3910,03 9788 8333,217,Frankston ,Frankston City Council,145.205019,-38.135677
Government,Mill Park Heights Primary School,Primary,87-93 Pindari Avenue,Mill Park,3082,03 9436 8866,707,Whittlesea ,Whittlesea City Council,145.051747,-37.657331
Government,Monmia Primary School,Primary,Copernicus Way,Keilor Downs,3038,03 9364 1007,118,Brimbank ,Brimbank City Council,144.79205,-37.717269
Government,Seabrook Primary School,Primary,83-105 Point Cook Road,Seabrook,3028,03 9395 1758,311,Hobsons Bay ,Hobsons Bay City Council,144.757899,-37.878842
Government,Willmott Park Primary School,Primary,54 Dorchester Street,Craigieburn,3064,03 9305 6639,327,Hume ,Hume City Council,144.922592,-37.591778
Government,Thomas Chirnside Primary School,Primary,85 Walls Road,Werribee,3030,03 9741 0200,726,Wyndham ,Wyndham City Council,144.637883,-37.903205
Government,Heany Park Primary School,Primary,Buckingham Drive,Rowville,3178,03 9764 5533,367,Knox ,Knox City Council,145.24288,-37.933923
Government,Ranfurly Primary School,Primary,348 Ontario Avenue,Mildura,3500,03 5022 1299,478,Mildura ,Mildura City Council,142.133903,-34.193672
Government,Kilberry Valley Primary School,Primary,Kilberry Boulevard,Hampton Park,3976,03 9702 8688,161,Casey ,Casey City Council,145.27957,-38.034165
Government,Killara Primary School,Primary,61 Phillip Drive,Sunbury,3429,03 9744 6432,327,Hume ,Hume City Council,144.704579,-37.563794
Government,Surfside Primary School,Primary,31-65 John Dory Drive,Ocean Grove,3226,03 5256 1411,275,Greater Geelong ,Greater Geelong City Council,144.541661,-38.261449
Government,Orchard Park Primary School,Primary,291 Pink Hill Boulevard,Officer,3809,03 5947 9100,145,Cardinia ,Cardinia Shire Council,145.396589,-38.05488
Government,Riverwalk Primary School,Primary,56 Timbarra Avenue,Werribee,3030,03 9742 9700,726,Wyndham ,Wyndham City Council,144.639329,-37.921032
Government,Niddrie Autistic School (interim name),Special,Cnr Garnet And Teague Street,Niddrie,3042,03 9112 8112,506,Moonee Valley ,Moonee Valley City Council,144.887062,-37.743926
Government,Oatlands Primary School,Primary,79 - 93 Kurrajong Road,Narre Warren,3805,03 9705 6055,161,Casey ,Casey City Council,145.31619,-38.006441
Government,Westgrove Primary School,Primary,37a Thames Boulevard,Werribee,3030,03 9749 8233,726,Wyndham ,Wyndham City Council,144.659529,-37.878502
Government,Peranbin Primary College,Primary,Tulip Street,Violet Town,3669,03 5798 1431,643,Strathbogie ,Strathbogie City Council,145.716968,-36.634239
Government,Barwon Valley School,Special,76 - 94 Laura Avenue,Belmont,3216,03 5243 1813,275,Greater Geelong ,Greater Geelong City Council,144.32804,-38.178775
Government,Pentland Primary School,Primary,164 Halletts Way,Bacchus Marsh,3340,03 5367 6080,515,Moorabool ,Moorabool Shire Council,144.4231834,-37.65585526
Government,Pakenham Hills Primary School,Primary,15 Kennedy Road,Pakenham,3810,03 5941 4436,145,Cardinia ,Cardinia Shire Council,145.494421,-38.060626
Government,Courtenay Gardens Primary School,Primary,35 Rosebank Drive,Cranbourne North,3977,03 5995 7139,161,Casey ,Casey City Council,145.28345,-38.080122
Government,Somerville Rise Primary School,Primary,Blacks Camp Road,Somerville,3912,03 5977 8500,534,Mornington Peninsula ,Mornington Peninsula City Council,145.167752,-38.230027
Government,Derrinallum P-12 College,Pri/Sec,Campbell Street,Derrinallum,3325,03 5597 6625,183,Corangamite ,Corangamite City Council,143.216741,-37.939591
Government,Mortlake P-12 College,Pri/Sec,10 Hood Avenue,Mortlake,3272,03 5599 2204,549,Moyne ,Moyne City Council,142.80955,-38.086366
Government,Branxholme-Wallacedale Community School,Primary,2 Monroe Street,Branxholme,3302,03 5578 6253,626,Southern Grampians ,Southern Grampians City Council,141.798722,-37.856354
Government,Mount Duneed Regional Primary School,Primary,90-100 Williams Road,Mount Duneed,3217,03 5264 1230,275,Greater Geelong ,Greater Geelong City Council,144.319678,-38.241244
Government,Grasmere Primary School,Primary,16 Ibbs Lane,Grasmere,3281,03 5565 4253,549,Moyne ,Moyne City Council,142.522877,-38.285986
Government,Narrawong District Primary School,Primary,Princes Highway,Narrawong,3285,03 5529 5375,241,Glenelg ,Glenelg City Council,141.716577,-38.252682
Government,Canadian Lead Primary School,Primary,301 Otway Street South,Ballarat East,3350,03 5333 7170,57,Ballarat ,Ballarat City Council,143.875909,-37.572968
Government,Caledonian Primary School,Primary,Thompson Street,Brown Hill,3350,03 5332 6955,57,Ballarat ,Ballarat City Council,143.894237,-37.55541574
Government,Grayling Primary School,Primary,25 Ferdinand Drive,Clyde North,3978,03 8903 4000,161,Casey ,Casey City Council,145.372686,-38.082858
Government,Tempy Primary School,Primary,13 Harrison Street,Tempy,3489,03 5093 6245,763,Yarriambiack ,Yarriambiack City Council,142.427082,-35.343952
Government,Rawson Primary School,Primary,Knotts Siding Road,Rawson,3825,03 5165 3443,83,Baw Baw ,Baw Baw City Council,146.398971,-37.959117
Government,Bundalaguah Primary School,Primary,627 Maffra-Sale Road,Bundalaguah,3851,03 5147 1110,681,Wellington ,Wellington City Council,147.012102,-38.023502
Government,Lardner and District Primary School,Primary,270 Burnt Store Road,Lardner,3821,03 5626 1303,83,Baw Baw ,Baw Baw City Council,145.880347,-38.204637
Government,Neerim District Rural Primary School,Primary,145 Nayook-Powelltown Road,Nayook,3832,03 5628 4415,83,Baw Baw ,Baw Baw City Council,145.949834,-37.921521
Government,Nambrok Denison Primary School,Primary,947 Sale-Cowwarr Road,Nambrok,3847,03 5149 2410,681,Wellington ,Wellington City Council,146.874813,-38.053991
Government,Welshpool and District Primary School,Primary,5960 South Gippsland Highway,Welshpool,3966,03 5688 1460,617,South Gippsland ,South Gippsland City Council,146.431109,-38.665517
Government,Whitfield District Primary School,Primary,6182 Mansfield Road,Whitfield,3733,03 5729 8286,670,Wangaratta ,Wangaratta City Council,146.412059,-36.765583
Government,Greta Valley Primary School,Primary,2376 Wangaratta Kilfeera Road,Greta South,3675,03 5766 6344,670,Wangaratta ,Wangaratta City Council,146.236359,-36.617838
Government,Everton Primary School,Primary,2157 Great Alpine Road,Everton,3678,03 5727 0222,670,Wangaratta ,Wangaratta City Council,146.544535,-36.435318
Government,Waaia Yalca South Primary School,Primary,1 Cowan Street,Waaia,3637,03 5864 1283,490,Moira ,Moira City Council,145.328624,-36.05147
Government,Nangiloc Colignan and District Primary School,Primary,2612 Kulkyne Way,Nangiloc,3494,03 5029 1483,478,Mildura ,Mildura City Council,142.357794,-34.473848
Government,Tyrrell College,Pri/Sec,10 Sutcliff Street,Sea Lake,3533,03 5070 2106,127,Buloke ,Buloke City Council,142.853519,-35.509276
Government,Harcourt Valley Primary School,Primary,3 Wilkinson Street,Harcourt,3453,03 5474 2266,543,Mount Alexander ,Mount Alexander City Council,144.257234,-37.002974
Government,Beverford District Primary School,Primary,20 School Road,Beverford,3590,03 5037 6622,661,Swan Hill ,Swan Hill City Council,143.478909,-35.232485
Government,Niddrie Primary School,Primary,25 Watt Street,Niddrie,3042,03 9379 6587,506,Moonee Valley ,Moonee Valley City Council,144.878433,-37.7308455
Government,Keelonith Primary School,Primary,1 Blossom Drive,Greenvale,3059,03 7379 5100,327,Hume ,Hume City Council,144.878837,-37.623205
Government,Lucas Primary School,Primary,46 OShannassy Parade,Lucas,3350,03 5338 5000,57,Ballarat ,Ballarat City Council,143.780404,-37.547955
Government,Toolern Vale and District Primary School,Primary,361 Creamery Road,Toolern Vale,3337,03 9746 1312,465,Melton ,Melton City Council,144.594231,-37.606275
Government,Parkhill Primary School,Primary,4a Parkhill Drive,Ashwood,3147,03 9807 2239,497,Monash ,Monash City Council,145.106871,-37.86288
Government,Kananook Primary School,Primary,22 Wells Road,Seaford,3198,03 9786 6066,217,Frankston ,Frankston City Council,145.131738,-38.125159
Government,Roberts McCubbin Primary School,Primary,57 Birdwood Street,Box Hill South,3128,03 9890 2372,698,Whitehorse ,Whitehorse City Council,145.125206,-37.834767
Government,Meeniyan Primary School,Primary,6 Geale Street,Meeniyan,3956,03 5664 7382,617,South Gippsland ,South Gippsland City Council,146.0151837,-38.5793389
Government,Bayles Regional Primary School,Primary,3730 Ballarto Road,Bayles,3981,03 5997 7261,145,Cardinia ,Cardinia Shire Council,145.566026,-38.176037
Government,Le Page Primary School,Primary,77 Argus Street,Cheltenham,3192,03 9583 8342,343,Kingston ,Kingston City Council,145.0681429,-37.95926069
Government,Powlett River Primary School,Primary,9 - 21 Bent Street,Dalyston,3992,03 5678 7240,74,Bass Coast ,Bass Coast City Council,145.546196,-38.56035
Government,Glen Waverley Primary School,Primary,774 High Street Road,Glen Waverley,3150,03 9802 9938,497,Monash ,Monash City Council,145.167589,-37.874716
Government,Carrington Primary School,Primary,Laura Road,Knoxfield,3180,03 9763 9600,367,Knox ,Knox City Council,145.246491,-37.891476
Government,Albany Rise Primary School,Primary,74-82 Albany Drive,Mulgrave,3170,03 9547 1146,497,Monash ,Monash City Council,145.172891,-37.928122
Government,Amsleigh Park Primary School,Primary,17 State Street,Oakleigh East,3166,03 9544 1553,497,Monash ,Monash City Council,145.108784,-37.900321
Government,Knox Central Primary School,Primary,39 Darwin Road,Boronia,3155,03 9801 3289,367,Knox ,Knox City Council,145.254975,-37.86116
Government,Mount Waverley North Primary School,Primary,Marcus Avenue,Mount Waverley,3149,03 9802 3168,497,Monash ,Monash City Council,145.141352,-37.868017
Government,Rangeview Primary School,Primary,27 Churinga Avenue,Mitcham,3132,03 9874 6381,698,Whitehorse ,Whitehorse City Council,145.206302,-37.829577
Government,Edenhope College,Pri/Sec,40-48 Lake Street,Edenhope,3318,03 5585 1277,689,West Wimmera ,West Wimmera City Council,141.2985627,-37.03342876
Government,Murrayville Community College,Pri/Sec,20 Francis Street,Murrayville,3512,03 5095 2001,478,Mildura ,Mildura City Council,141.1773365,-35.26557452
Government,Hawkesdale P12 College,Pri/Sec,65 Mitchell Street,Hawkesdale,3287,03 5560 7225,549,Moyne ,Moyne City Council,142.319173,-38.106976
Government,Carwatha College P-12,Pri/Sec,43-81 Browns Road,Noble Park,3174,03 9795 5848,267,Greater Dandenong ,Greater Dandenong City Council,145.188726,-37.942845
Government,Glen Waverley South Primary School,Primary,Whites Lane,Glen Waverley,3150,03 9560 6371,497,Monash ,Monash City Council,145.1676109,-37.89685885
Government,Streeton Primary School,Primary,209 Yallambie Road,Yallambie,3085,03 9435 6070,66,Banyule ,Banyule City Council,145.102224,-37.721556
Government,Woorinen District Primary School,Primary,49 Palmer Street,Woorinen South,3588,03 5037 6514,661,Swan Hill ,Swan Hill City Council,143.4537404,-35.29040896
Government,Woady Yaloak Primary School,Primary,50 Becker Street,Smythesdale,3351,03 5342 8565,249,Golden Plains ,Golden Plains City Council,143.6842973,-37.64352309
Government,Millwarra Primary School,Primary,Cavanagh Road,Millgrove,3799,03 5966 2518,745,Yarra Ranges ,Yarra Ranges Shire Council,145.6518558,-37.75278559
Government,Gormandale And District Primary School,Primary,38 Main Street,Gormandale,3873,03 5197 7444,681,Wellington ,Wellington City Council,146.703208,-38.294177
Government,Roxburgh Homestead Primary School,Primary,21-33 Mcpherson Boulevard,Roxburgh Park,3064,03 9305 1688,327,Hume ,Hume City Council,144.916279,-37.632064
Government,Newcomb Park Primary School,Primary,7 - 25 Richard Street,Newcomb,3219,03 5248 4176,275,Greater Geelong ,Greater Geelong City Council,144.394953,-38.165163
Government,Dinjerra Primary School,Primary,44 South Road,Braybrook,3019,03 9311 1598,433,Maribyrnong ,Maribyrnong City Council,144.856117,-37.791693
Government,Belle Vue Park Primary School,Primary,Morell Street,Glenroy,3046,03 9306 7900,525,Moreland ,Moreland City Council,144.943937,-37.701198
Government,Doncaster Gardens Primary School,Primary,Sandhurst Avenue,Doncaster East,3109,03 9848 5282,421,Manningham ,Manningham City Council,145.1479,-37.781607
Government,Nyah District Primary School,Primary,53-59 Monash Avenue,Nyah West,3595,03 5030 2548,661,Swan Hill ,Swan Hill City Council,143.343189,-35.186082
Government,Strathaird Primary School,Primary,20 Sherwood Road,Narre Warren South,3805,03 9705 3800,161,Casey ,Casey City Council,145.28692,-38.06312
Government,Marnebek School Cranbourne,Special,9 New Holland Drive,Cranbourne East,3977,03 5996 3858,161,Casey ,Casey City Council,145.2964999,-38.11020493
Government,Great Ryrie Primary School,Primary,51A Great Ryrie Street,Heathmont,3135,03 9870 6098,441,Maroondah ,Maroondah City Council,145.237626,-37.823797
Government,Timbarra P-9 College,Pri/Sec,159-197 Parkhill Drive,Berwick,3806,03 9704 2744,161,Casey ,Casey City Council,145.3226276,-38.01557462
Government,Parkwood Green Primary School,Primary,178 Community Hub,Hillside,3037,03 9449 3600,465,Melton ,Melton City Council,144.74446,-37.699206
Government,Hillsmeade Primary School,Primary,82S The Promenade,Narre Warren South,3805,03 9704 6313,161,Casey ,Casey City Council,145.307463,-38.06472
Government,Roxburgh Park Primary School,Primary,7-21 Almands Avenue,Roxburgh Park,3064,03 9303 9335,327,Hume ,Hume City Council,144.931401,-37.634239
Government,Carranballac P-9 College,Pri/Sec,Cnr Foxwood Dve & Dunnings Rd,Point Cook,3030,03 9395 3533,726,Wyndham ,Wyndham City Council,144.743132,-37.884736
Government,Benton Junior College,Primary,261 Racecourse Road,Mornington,3931,03 5973 9100,534,Mornington Peninsula ,Mornington Peninsula City Council,145.061114,-38.245946
Government,Caulfield Primary School,Primary,724 Glen Huntly Road,Caulfield South,3162,03 9523 7932,231,Glen Eira ,Glen Eira City Council,145.0200308,-37.888054
Government,East Gippsland Specialist School,Special,31 Calvert Street,Bairnsdale,3875,03 5152 5922,211,East Gippsland ,East Gippsland City Council,147.598997,-37.828711
Government,Roxburgh Rise Primary School,Primary,35 - 59 Lockwood Drive,Roxburgh Park,3064,03 9305 4334,327,Hume ,Hume City Council,144.923504,-37.616207
Government,Lynbrook Primary School,Primary,Paterson Drive,Lynbrook,3975,03 8787 5390,161,Casey ,Casey City Council,145.248986,-38.05239
Government,South Gippsland Specialist School,Special,13 Horn Street,Leongatha,3953,03 5662 4496,617,South Gippsland ,South Gippsland City Council,145.9572894,-38.47819065
Government,Laurimar Primary School,Primary,Armidale Road,Doreen,3754,03 9717 7100,707,Whittlesea ,Whittlesea City Council,145.126874,-37.585823
Government,Truganina South Primary School,Primary,3-19 Parkvista Drive,Truganina,3029,03 9296 1800,726,Wyndham ,Wyndham City Council,144.725651,-37.86453
Government,Kororoit Creek Primary School,Primary,130 Tenterfield Drive,Burnside Heights,3023,03 8358 0600,465,Melton ,Melton City Council,144.754581,-37.735031
Government,Harvest Home Primary School,Primary,365 Harvest Home Road,Epping,3076,03 8468 9000,707,Whittlesea ,Whittlesea City Council,145.00226,-37.622078
Government,Truganina P-9 College,Pri/Sec,55 Clearwood Drive,Truganina,3029,03 9368 9800,726,Wyndham ,Wyndham City Council,144.7190874,-37.83876718
Government,Burnside Primary School,Primary,35 Lexington Drive,Burnside,3023,03 8578 6310,465,Melton ,Melton City Council,144.75289,-37.74566
Government,Berwick Chase Primary School,Primary,72 Viewgrand Drive,Berwick,3806,03 9707 7799,161,Casey ,Casey City Council,145.346961,-38.067433
Government,Pakenham Lakeside Primary School,Primary,23 Shearwater Drive,Pakenham,3810,03 5940 9532,145,Cardinia ,Cardinia Shire Council,145.438998,-38.068457
Government,Davis Creek Primary School,Primary,65 Wootten Road,Tarneit,3029,03 9749 9800,726,Wyndham ,Wyndham City Council,144.660236,-37.855876
Government,Pakenham Springs Primary School,Primary,5 Livingstone Boulevard,Pakenham,3810,03 5945 7400,145,Cardinia ,Cardinia Shire Council,145.470076,-38.084508
Government,Taylors Hill Primary School,Primary,40-50 Loddon Drive,Taylors Hill,3037,03 9361 4900,465,Melton ,Melton City Council,144.7599018,-37.71669468
Government,Cranbourne Carlisle Primary School,Primary,15 Silky Oak Drive,Cranbourne,3977,03 5991 3600,161,Casey ,Casey City Council,145.289059,-38.087532
Government,Aurora School,Special,96 Holland Road,Blackburn South,3130,03 8878 9878,698,Whitehorse ,Whitehorse City Council,145.1507912,-37.84017872
Government,Derrimut Primary School,Primary,40 Lennon Parkway,Derrimut,3026,03 8361 1000,118,Brimbank ,Brimbank City Council,144.7632008,-37.78926806
Government,Epping Views Primary School,Primary,20 Mansfield Street,Epping,3076,03 8401 3791,707,Whittlesea ,Whittlesea City Council,145.024015,-37.628439
Government,Echuca Twin Rivers Primary School,Primary,66 Wilkinson Drive,Echuca,3564,03 5410 7700,137,Campaspe ,Campaspe City Council,144.724074,-36.140162
Government,Cranbourne East Primary School,Primary,2 Bowyer Avenue,Cranbourne East,3977,03 5990 0400,161,Casey ,Casey City Council,145.304437,-38.106281
Government,Yuille Park P-8 Community College,Pri/Sec,39 Violet Grove,Wendouree,3355,03 5339 5555,57,Ballarat ,Ballarat City Council,143.820396,-37.527504
Government,Lyndhurst Primary School,Primary,70 Brookwater Parade,Lyndhurst,3975,03 8768 6700,161,Casey ,Casey City Council,145.254082,-38.07496
Government,Aitken Creek Primary School,Primary,51-81 Grevillea Street,Craigieburn,3064,03 8338 3700,327,Hume ,Hume City Council,144.905568,-37.58175
Government,Reservoir Views Primary School,Primary,73-91 Hickford Street,Reservoir,3073,03 9460 6995,189,Darebin ,Darebin City Council,145.022725,-37.705518
Government,Meadows Primary School,Primary,41 Gerbert Street,Broadmeadows,3047,03 9309 2573,327,Hume ,Hume City Council,144.92956,-37.687539
Government,Mernda Park Primary School,Primary,40 Riverdale Boulevard,Mernda,3754,03 8776 9700,707,Whittlesea ,Whittlesea City Council,145.096935,-37.614026
Government,Sunshine Harvester Primary School,Primary,132 Hertford Road,Sunshine,3020,03 9311 1234,118,Brimbank ,Brimbank City Council,144.845687,-37.782934
Government,Pakenham Primary School,Primary,50 Atlantic Drive,Pakenham,3810,03 5918 3900,145,Cardinia ,Cardinia Shire Council,145.5108401,-38.06393707
Government,Alamanda K-9 College,Pri/Sec,86-100 Alamanda Boulevard,Point Cook,3030,03 8376 5200,726,Wyndham ,Wyndham City Council,144.741329,-37.908238
Government,Whitehorse Primary School,Primary,70-86 Junction Road,Blackburn North,3130,03 9878 9339,698,Whitehorse ,Whitehorse City Council,145.1669863,-37.80746673
Government,Golden Square Primary School,Primary,19 - 31  Maple Street,Golden Square,3555,03 5443 6877,262,Greater Bendigo ,Greater Bendigo City Council,144.2573028,-36.77060344
Government,Lalor Gardens Primary School,Primary,134 Kingsway Drive,Lalor,3075,03 9465 1351,707,Whittlesea ,Whittlesea City Council,145.0013492,-37.66369312
Government,Chandler Park Primary School,Primary,Cochrane Avenue,Keysborough,3173,03 9798 2228,267,Greater Dandenong ,Greater Dandenong City Council,145.180477,-37.992396
Government,Keysborough Primary School,Primary,33 Coomoora Road,Springvale South,3172,03 9798 4764,267,Greater Dandenong ,Greater Dandenong City Council,145.152418,-37.982629
