Education_Sector,School_Name,School_Type,Address,Suburb,Postcode,Full_Phone_No,LGA_ID,LGA_Name,CouncilArea,Longitude,Latitude
Private,Galen Catholic College,Secondary,College Street,Wangaratta,3677,03 5721 6322,670,Wangaratta ,Wangaratta City Council,146.310537,-36.338747
Private,Holy Spirit School,Primary,120 Oban Road,Ringwood North,3134,03 9876 1103,441,Maroondah ,Maroondah City Council,145.236917,-37.793231
Private,Lumen Christi School,Primary,35 Williams Avenue,Churchill,3842,03 5122 2231,381,Latrobe ,Latrobe City Council,146.4157105,-38.31640225
Private,Holy Saviour Parish School,Primary,765 Highbury Road,Vermont South,3133,03 9803 6828,698,Whitehorse ,Whitehorse City Council,145.175038,-37.862336
Private,St Clare's School,Primary,Harbard Street,Thomastown West,3074,03 9465 8535,707,Whittlesea ,Whittlesea City Council,144.9977174,-37.67775056
Private,Nhill Lutheran School,Primary,2 Mackay St,Nhill,3418,03 5391 2144,298,Hindmarsh ,Hindmarsh City Council,141.662154,-36.327734
Private,St Anne's School,Primary,16-24  Stewarts Lane,Sunbury,3429,03 9744 3055,327,Hume ,Hume City Council,144.717457,-37.568388
Private,Our Lady of the Pines School,Primary,77 Carbine Street,Donvale,3111,03 9842 2991,421,Manningham ,Manningham City Council,145.177211,-37.774442
Private,St Jude's School,Primary,30 Warrandyte Road,Langwarrin,3910,03 9789 7581,217,Frankston ,Frankston City Council,145.191109,-38.155275
Private,St Paul's Kealba Catholic School,Primary,230-240 Sunshine Avenue,Kealba,3021,03 9366 6033,118,Brimbank ,Brimbank City Council,144.81963,-37.733736
Private,St Elizabeth's School,Primary,111 Bakers Road,Dandenong North,3175,03 9795 5258,267,Greater Dandenong ,Greater Dandenong City Council,145.198878,-37.946321
Private,St Joseph the Worker School,Primary,79 Wilson Boulevard,Reservoir North,3073,03 9469 7800,189,Darebin ,Darebin City Council,144.99292,-37.702216
Private,Resurrection School,Primary,51 Gum Road,Kings Park,3021,03 8312 6312,118,Brimbank ,Brimbank City Council,144.775394,-37.736301
Private,Catholic Regional College,Secondary,10 Theodore Street,St Albans,3021,03 9366 2544,118,Brimbank ,Brimbank City Council,144.799086,-37.738892
Private,St Francis Xavier College,Secondary,4 Beaconsfield Avenue,Beaconsfield,3807,03 9707 3111,145,Cardinia ,Cardinia Shire Council,145.373106,-38.052002
Private,Holy Trinity Lutheran College,Pri/Sec,Trinity Drive,Horsham,3400,03 5382 2529,319,Horsham ,Horsham City Council,142.217749,-36.708181
Private,North-Eastern Montessori School,Primary,315 Aqueduct Rd,St Helena,3088,03 9438 3202,66,Banyule ,Banyule City Council,145.137091,-37.68407
Private,Waverley Christian College,Pri/Sec,1248 High Street Road,Wantirna South,3152,03 9871 8600,367,Knox ,Knox City Council,145.215299,-37.880135
Private,The King David School,Pri/Sec,517-519 Orrong Road,Armadale,3143,03 9529 5277,635,Stonnington ,Stonnington City Council,145.010495,-37.858226
Private,Westbourne Grammar School,Pri/Sec,300 Sayers Rd,Truganina,3029,03 9731 9444,726,Wyndham ,Wyndham City Council,144.724898,-37.850843
Private,Nazareth School,Primary,14-16 Griffith Street,Grovedale,3216,03 5243 0502,275,Greater Geelong ,Greater Geelong City Council,144.330112,-38.202516
Private,St Augustine's Primary School,Primary,Augustine's Way,Keilor,3036,03 9336 4294,118,Brimbank ,Brimbank City Council,144.820517,-37.710633
Private,St Anthony's School,Primary,Wilson Road,Melton South,3338,03 8099 7800,465,Melton ,Melton City Council,144.572897,-37.709657
Private,St Thomas the Apostle School,Primary,251 Diamond Creek Road,Greensborough North,3088,03 9434 4565,571,Nillumbik ,Nillumbik Shire Council,145.1191059,-37.68218852
Private,St Luke's School,Primary,25 Stokes Road,Wantirna,3152,03 9801 6917,367,Knox ,Knox City Council,145.235066,-37.853378
Private,St Peter's School,Primary,2A Killeen Street,Sunshine South West,3020,03 8312 6900,118,Brimbank ,Brimbank City Council,144.819619,-37.800283
Private,Northside Christian College,Pri/Sec,31 McLeans Rd,Bundoora,3083,03 9467 2499,707,Whittlesea ,Whittlesea City Council,145.0546707,-37.69501422
Private,St John's College Preston,Pri/Sec,21 Railway Place West,Preston,3072,03 9480 5300,189,Darebin ,Darebin City Council,144.998743,-37.747246
Private,Good Shepherd Lutheran Primary School,Primary,53-57 Plymouth Rd,Croydon Hills,3136,03 9725 8255,441,Maroondah ,Maroondah City Council,145.268615,-37.782683
Private,Oxley Christian College,Pri/Sec,15 - 49 Old Melbourne Rd,Chirnside Park,3116,03 9727 9900,745,Yarra Ranges ,Yarra Ranges Shire Council,145.30513,-37.763573
Private,Olivet Christian College,Pri/Sec,89 Main Rd,Campbells Creek,3451,03 5472 3817,543,Mount Alexander ,Mount Alexander City Council,144.205424,-37.088492
Private,Covenant College,Pri/Sec,105 Creamery Road,Bell Post Hill,3215,03 5278 5122,275,Greater Geelong ,Greater Geelong City Council,144.317997,-38.09719
Private,Mountain District Christian School,Pri/Sec,325 Macclesfield Road,Monbulk,3793,03 9756 7244,745,Yarra Ranges ,Yarra Ranges Shire Council,145.4527149,-37.85664819
Private,Catholic College Wodonga,Secondary,1 Bowman Court,Wodonga,3690,02 6043 5500,717,Wodonga ,Wodonga City Council,146.8623901,-36.12961895
Private,Caroline Chisholm Catholic College,Secondary,204 Churchill Avenue,Braybrook,3019,03 9296 5311,433,Maribyrnong ,Maribyrnong City Council,144.8501,-37.785858
Private,St Thomas More School,Primary,Cuthbert's Road,Alfredton,3350,03 5334 2244,57,Ballarat ,Ballarat City Council,143.79995,-37.553494
Private,St Mary's School,Primary,58 Clegg Road,Mount Evelyn,3796,03 9736 2219,745,Yarra Ranges ,Yarra Ranges Shire Council,145.395858,-37.790516
Private,St Anne's School,Primary,60 Knees Road,Park Orchards,3114,03 9876 1533,421,Manningham ,Manningham City Council,145.218594,-37.773303
Private,St Gabriel's School,Primary,30-50 Rangeview Drive,Traralgon West,3844,03 5174 5515,381,Latrobe ,Latrobe City Council,146.511052,-38.187649
Private,Our Lady's School,Primary,169-171 Craigieburn Road West,Craigieburn,3064,03 9308 2011,327,Hume ,Hume City Council,144.931372,-37.598603
Private,St Augustine's School,Primary,80 Golf Links Road,Frankston South,3199,03 9781 3007,217,Frankston ,Frankston City Council,145.145871,-38.172048
Private,St Francis of Assisi School,Primary,290-312 Childs Road,Mill Park,3082,03 9407 3100,707,Whittlesea ,Whittlesea City Council,145.0589142,-37.66499475
Private,Loyola College,Secondary,325 Grimshaw Street,Watsonia,3087,03 9434 4466,66,Banyule ,Banyule City Council,145.08073,-37.703396
Private,Catholic Regional College,Secondary,109-141 Bulman's Road,Melton,3337,03 8099 6000,465,Melton ,Melton City Council,144.550411,-37.677246
Private,Newhaven College,Pri/Sec,1770 Phillip Island Road,Rhyll,3923,03 5956 7505,74,Bass Coast ,Bass Coast City Council,145.272323,-38.488343
Private,St John's Lutheran School,Primary,43-55 Trangmar Street,Portland,3305,03 5523 3833,241,Glenelg ,Glenelg City Council,141.589841,-38.356786
Private,Christian College Geelong,Pri/Sec,18 Burdekin Road,Highton,3216,03 5241 1899,275,Greater Geelong ,Greater Geelong City Council,144.313073,-38.185241
Private,Billanook College,Pri/Sec,197-199 Cardigan Road,Mooroolbark,3138,03 9725 5388,745,Yarra Ranges ,Yarra Ranges Shire Council,145.3388701,-37.78785168
Private,Fitzroy Community School,Primary,597 Brunswick Street,Fitzroy North,3068,03 9489 5700,735,Yarra ,Yarra City Council,144.97981,-37.789173
Private,St Paul Apostle South School,Primary,9 William Hovell Drive,Endeavour Hills,3802,03 9700 3663,161,Casey ,Casey City Council,145.257929,-37.980524
Private,St Andrew's School,Primary,96 Bunney Road,Clayton South,3169,03 9551 5094,343,Kingston ,Kingston City Council,145.107195,-37.93489
Private,St Thomas More's School,Primary,313 Canadian Bay Road,Mount Eliza,3930,03 9787 7788,534,Mornington Peninsula ,Mornington Peninsula City Council,145.101137,-38.197726
Private,St Francis' School,Primary,Chapel Street,Nathalia,3638,03 5866 2271,490,Moira ,Moira City Council,145.207742,-36.058596
Private,Creek Street Christian College,Pri/Sec,91 Creek Street,Bendigo,3550,03 5442 1722,262,Greater Bendigo ,Greater Bendigo City Council,144.271576,-36.765532
Private,Good Shepherd College,Pri/Sec,297 Mount Napier Road,Hamilton,3300,03 5571 2595,626,Southern Grampians ,Southern Grampians City Council,142.041488,-37.770832
Private,Plenty Valley Christian College,Pri/Sec,840 Yan Yean Road,Doreen,3754,03 9717 7400,571,Nillumbik ,Nillumbik Shire Council,145.138791,-37.613463
Private,St James the Apostle School,Primary,330 Derrimut Road,Hoppers Crossing North,3029,03 9749 1000,726,Wyndham ,Wyndham City Council,144.687493,-37.857286
Private,St Simon's School,Primary,2 Taylors Lane,Rowville,3178,03 9755 4222,367,Knox ,Knox City Council,145.245327,-37.925677
Private,Queen of Peace Primary School,Primary,62 Everingham Road,Altona Meadows,3028,03 9369 2581,311,Hobsons Bay ,Hobsons Bay City Council,144.791697,-37.875148
Private,Don Bosco School,Primary,496 Princes Highway,Narre Warren,3805,03 9704 7255,161,Casey ,Casey City Council,145.315012,-38.025966
Private,Our Lady Star of the Sea School,Primary,13-29 John Dory Drive,Ocean Grove,3226,03 5255 4308,275,Greater Geelong ,Greater Geelong City Council,144.540157,-38.26078
Private,Catholic Regional College Institute of Training,Secondary,380 Sydenham Road,Sydenham,3037,03 9361 0000,118,Brimbank ,Brimbank City Council,144.771012,-37.699136
Private,Catholic Regional College North Keilor,Secondary,Santa Monica Drive,Keilor North,3036,03 9361 5900,118,Brimbank ,Brimbank City Council,144.805062,-37.699943
Private,Village School,Primary,9-13 Holloway Road,Croydon North,3136,03 9726 4766,441,Maroondah ,Maroondah City Council,145.294493,-37.763749
Private,Bayside Christian College,Pri/Sec,120-128 Robinsons Road,Langwarrin South,3911,03 5971 6700,217,Frankston ,Frankston City Council,145.16302,-38.178632
Private,Andale School,Special,84 Charles Street,Kew,3101,03 9853 3911,111,Boroondara ,Boroondara City Council,145.036044,-37.805513
Private,Trinity Lutheran College,Pri/Sec,920 Fifteenth Street,Mildura,3500,03 5023 7013,478,Mildura ,Mildura City Council,142.128786,-34.201602
Private,Goulburn Valley Grammar School,Pri/Sec,455 Verney Road,Shepparton,3630,03 5821 8155,283,Greater Shepparton ,Greater Shepparton City Council,145.415577,-36.327476
Private,The Knox School,Pri/Sec,220 Burwood Highway,Wantirna South,3152,03 8805 3800,367,Knox ,Knox City Council,145.219198,-37.865467
Private,Heathdale Christian College,Pri/Sec,175 Derrimut Rd,Werribee,3030,03 9749 1522,726,Wyndham ,Wyndham City Council,144.681332,-37.881318
Private,Hillcrest Christian College,Pri/Sec,500 Soldiers Road,Clyde North,3978,03 9702 2144,161,Casey ,Casey City Council,145.363801,-38.084681
Private,St Paul's Anglican Grammar School,Pri/Sec,150 Bowen Street,Warragul,3820,03 5623 5833,83,Baw Baw ,Baw Baw City Council,145.930417,-38.147811
Private,Sunshine Christian School,Primary,81 - 83 Westmoreland Road,Sunshine North,3020,03 9312 1253,118,Brimbank ,Brimbank City Council,144.835864,-37.768396
Private,Frank Dando Sports Academy,Special,33 Raymond Street,Ashwood,3147,03 9807 2111,497,Monash ,Monash City Council,145.108886,-37.8668
Private,Beaconhills College,Pri/Sec,30-34 Toomuc Valley Road,Pakenham,3810,1300 002 225,145,Cardinia ,Cardinia Shire Council,145.467319,-38.061898
Private,Ghilgai School,Primary,295 Liverpool Road,Kilsyth,3137,03 9761 8369,745,Yarra Ranges ,Yarra Ranges Shire Council,145.3189311,-37.82913713
Private,St Bernadette's Catholic Primary School,Primary,1264 Mountain Highway,The Basin,3154,03 9762 5135,367,Knox ,Knox City Council,145.310841,-37.853904
Private,St Catherine's School,Primary,2 Lascelles Drive,Lalor West,3075,03 9466 2480,707,Whittlesea ,Whittlesea City Council,145.0032382,-37.66560256
Private,St Anthony's School,Primary,90 Kees Road,Lara,3212,03 5282 1415,275,Greater Geelong ,Greater Geelong City Council,144.390582,-38.015191
Private,St Mary's School,Primary,2-20 Fir Street,Whittlesea,3757,03 9714 9999,707,Whittlesea ,Whittlesea City Council,145.1145373,-37.50906237
Private,St Charles Borromeo School,Primary,230-234 Serpells Road,Templestowe,3106,03 9842 7634,421,Manningham ,Manningham City Council,145.153432,-37.767398
Private,River City Christian College,Pri/Sec,29 Rose Street,Echuca,3564,03 5482 4594,137,Campaspe ,Campaspe City Council,144.731759,-36.144815
Private,Belgrave Heights Christian School,Pri/Sec,20 Wattle Valley Road,Belgrave Heights,3160,03 9754 6435,745,Yarra Ranges ,Yarra Ranges Shire Council,145.3462292,-37.91890282
Private,Oakleigh Grammar,Pri/Sec,77  Willesden Road,Oakleigh,3166,03 9569 6128,497,Monash ,Monash City Council,145.082819,-37.895907
Private,Worawa Aboriginal College,Special,60 - 80 Barak Lane,Healesville,3777,03 5962 4344,745,Yarra Ranges ,Yarra Ranges Shire Council,145.5092164,-37.68452365
Private,Kerang Christian College,Pri/Sec,98 Wyndham Street,Kerang,3579,03 5450 3894,225,Gannawarra ,Gannawarra City Council,143.913416,-35.730422
Private,St Andrews Christian College,Pri/Sec,130 Tyner Road,Wantirna South,3152,(03) 8847 8300,367,Knox ,Knox City Council,145.244636,-37.873866
Private,Chairo Christian School,Pri/Sec,76 Balfour Road,Drouin,3818,03 5625 4600,83,Baw Baw ,Baw Baw City Council,145.877116,-38.142837
Private,Australian International Academy of Education,Pri/Sec,653 Sydney Road,Coburg,3058,03 9350 4533,525,Moreland ,Moreland City Council,144.966123,-37.736331
Private,Flinders Christian Community College,Pri/Sec,155 Mornington - Tyabb Road,Tyabb,3913,03 5973 2000,534,Mornington Peninsula ,Mornington Peninsula City Council,145.167984,-38.262117
Private,St Mary MacKillop Primary School,Primary,152 Odessa Avenue,Keilor Downs,3038,03 9367 6199,118,Brimbank ,Brimbank City Council,144.804346,-37.714625
Private,St Catherine of Siena School,Primary,101 Bulman's Road,Melton West,3337,03 9743 2166,465,Melton ,Melton City Council,144.5501953,-37.67878271
