Education_Sector,Entity_Type,School_Name,School_Type,School_Status,Address,Suburb,State,Postcode,Full_Phone_No,LGA_ID,LGA_Name,Lng,Lat
Government,1,Yering Primary School,Primary,O,22-24 Melba Highway,Yering,VIC,3770,03 9739 1451,745,Yarra Ranges (S),145.3822185,-37.7053494
Government,1,Dartmoor Primary School,Primary,O,76 Greenham Street,Dartmoor,VIC,3304,03 5528 1382,241,Glenelg (S),141.276732,-37.923017
Government,1,Mickleham Primary School,Primary,O,1880 Mickleham Road,Mickleham,VIC,3064,03 9745 2250,327,Hume (C),144.876546,-37.563495
Government,1,Inglewood Primary School,Primary,O,77 Sullivan Street,Inglewood,VIC,3517,03 5438 3303,394,Loddon (S),143.870446,-36.573945
Government,1,Chewton Primary School,Primary,O,1 Hunter Street,Chewton,VIC,3451,03 5472 2557,543,Mount Alexander (S),144.261164,-37.082327
Government,1,Bolinda Primary School,Primary,O,1 Mullalys Road,Bolinda,VIC,3432,03 5428 5317,413,Macedon Ranges (S),144.7454039,-37.43373498
Government,1,Napoleons Primary School,Primary,O,4721 Colac-Ballarat Road,Napoleons,VIC,3352,03 5342 0414,249,Golden Plains (S),143.826459,-37.67862938
Government,1,Kew Primary School,Primary,O,Peel Street,Kew,VIC,3101,03 9853 8325,111,Boroondara (C),145.033386,-37.803639
Government,1,Haddon Primary School,Primary,O,398 Sago Hill Road,Haddon,VIC,3351,03 4344 4139,249,Golden Plains (S),143.7217144,-37.58863962
Government,1,Panmure Primary School,Primary,O,8759 Princes Highway,Panmure,VIC,3265,03 5567 6264,549,Moyne (S),142.732528,-38.32935021
Government,1,Sorrento Primary School,Primary,O,32 Kerferd Avenue,Sorrento,VIC,3943,03 5984 2130,534,Mornington Peninsula (S),144.740685,-38.341482
Government,1,Alfredton Primary School,Primary,O,89a Cuthberts Road,Alfredton,VIC,3350,03 5334 1572,57,Ballarat (C),143.802104,-37.554797
Government,1,Bridgewater Primary School,Primary,O,34 - 44 Eldon Street,Bridgewater On Loddon,VIC,3516,03 5437 3081,394,Loddon (S),143.945917,-36.603101
Government,1,Hastings Primary School,Primary,O,10 - 20 Hodgins Road,Hastings,VIC,3915,03 5979 1517,534,Mornington Peninsula (S),145.189474,-38.299696
Government,1,Yackandandah Primary School,Primary,O,39 High Street,Yackandandah,VIC,3749,02 6027 1431,335,Indigo (S),146.836458,-36.312095
Government,1,Nagambie Primary School,Primary,O,31 Goulburn Street,Nagambie,VIC,3608,03 5794 2273,643,Strathbogie (S),145.157226,-36.787589
Government,1,Heyfield Primary School,Primary,O,22 Temple Street,Heyfield,VIC,3858,03 5148 2666,681,Wellington (S),146.784936,-37.982114
Government,1,Moorabbin Primary School,Primary,O,61 Worthing Road,Moorabbin,VIC,3189,03 9555 1101,343,Kingston (C),145.039587,-37.94202
Government,1,Mansfield Primary School,Primary,O,4 Apollo Street,Mansfield,VIC,3722,03 5775 2325,425,Mansfield (S),146.084825,-37.055591
Government,1,Middle Indigo Primary School,Primary,O,710 Indigo Creek Road,Indigo Valley,VIC,3688,02 6026 9235,335,Indigo (S),146.72484,-36.156013
Government,1,Briagolong Primary School,Primary,O,2 Church Street,Briagolong,VIC,3860,03 5145 5260,681,Wellington (S),147.067843,-37.842801
Government,1,Lindenow Primary School,Primary,O,140 Henry Street,Lindenow,VIC,3865,03 5157 1340,211,East Gippsland (S),147.453266,-37.800879
Government,1,Broadford Primary School,Primary,O,17-23 Powlett Street,Broadford,VIC,3658,03 5784 1221,485,Mitchell (S),145.046301,-37.20257
Government,1,Murchison Primary School,Primary,O,8 - 10 Impey Street,Murchison,VIC,3610,03 5826 2391,283,Greater Shepparton (C),145.214287,-36.61718
Government,1,Panton Hill Primary School,Primary,O,585 Kangaroo Grd-St Andrews Rd,Panton Hill,VIC,3759,03 9719 7202,571,Nillumbik (S),145.2395564,-37.64160566
Government,1,Glen Park Primary School,Primary,O,265 Ralstons Road,Glen Park,VIC,3352,03 5334 5360,515,Moorabool (S),143.934795,-37.524779
Government,1,Concongella Primary School,Primary,O,61 Concongella School Road,CONCONGELLA,VIC,3384,03 5358 1811,581,Northern Grampians (S),142.822316,-37.049558
Government,1,Bruthen Primary School,Primary,O,31 Great Alpine Road,Bruthen,VIC,3885,03 5157 5445,211,East Gippsland (S),147.833492,-37.704214
Government,1,Swan Hill Primary School,Primary,O,123 Gray Street,Swan Hill,VIC,3585,03 5032 1336,661,Swan Hill (RC),143.54325,-35.346911
Government,1,Porepunkah Primary School,Primary,O,2 Martley Street,Porepunkah,VIC,3740,03 5756 2253,11,Alpine (S),146.911022,-36.699486
Government,1,Leopold Primary School,Primary,O,1 Kensington Road,Leopold,VIC,3224,03 5250 1233,275,Greater Geelong (C),144.464367,-38.187261
Government,1,Inverleigh Primary School,Primary,O,54 High Street,Inverleigh,VIC,3321,03 5265 1340,249,Golden Plains (S),144.0546877,-38.10094228
Government,1,Glen Iris Primary School,Primary,O,170 Glen Iris Road,Glen Iris,VIC,3146,03 9885 3624,111,Boroondara (C),145.065894,-37.860483
Government,1,Trawalla Primary School,Primary,O,11 Trawalla Road,Trawalla,VIC,3373,03 5349 2047,599,Pyrenees (S),143.469859,-37.437731
Government,1,Quarry Hill Primary School,Primary,O,25 Peel Street,Quarry Hill,VIC,3550,03 5443 3537,262,Greater Bendigo (C),144.279976,-36.775117
Government,1,Sebastopol Primary School,Primary,O,9 Warreen Street,Sebastopol,VIC,3356,03 5335 8157,57,Ballarat (C),143.844719,-37.59643401
Government,1,Woodside Primary School,Primary,O,39-41 Prince St,Woodside,VIC,3874,03 5187 1272,681,Wellington (S),146.876739,-38.526332
Government,1,Noorat Primary School,Primary,O,MacKinnon's Bridge Road,Noorat,VIC,3265,03 5592 5282,183,Corangamite (S),142.928735,-38.190751
Government,1,Albert Park Primary School,Primary,O,Bridport Street,Albert Park,VIC,3206,03 9699 9090,590,Port Phillip (C),144.952766,-37.841884
